=================================
=  Algeria

Youcef Belaïli,               F,  1.78 m,  b. 14 Mar 1992 @ Oran
Julien López,                 M,  1.73 m,  b. 1 Mar 1992 @ Marseille
Saphir Taïder,                M,  1.80 m,  b. 29 Feb 1992 @ Castres
Ishak Belfodil,               F,  1.91 m,  b. 12 Jan 1992 @ Mostaganem

Baghdad Bounedjah,            F,  1.83 m,  b. 30 Nov 1991 @ Oran
Aïssa Mandi,                  D,  1.84 m,  b. 22 Oct 1991 @ Châlons-en-Champagne
Andy Delort,                  F,  1.82 m,  b. 9 Oct 1991 @ Sète
Rachid Bouhenna,              D,  1.91 m,  b. 29 Jun 1991 @ Sedan
Riyad Mahrez,                 M|F,1.79 m,  b. 21 Feb 1991 @ Sarcelles
Mounir Bouziane,              M,  1.82 m,  b. 5 Feb 1991 @ St Louis
Faouzi Ghoulam,               D,  1.88 m,  b. 1 Feb 1991 @ Saint-Priest-en-Jarez

Moustapha Zeghba,             G,  1.90 m,  b. 21 Nov 1990 @ M'Sila
Nabil Ghilas,                 F,  1.83 m,  b. 20 Apr 1990 @ Marseille
Ryad Boudebouz,               M,  1.77 m,  b. 19 Feb 1990 @ Colmar
Yacine Brahimi,               F,  1.75 m,  b. 8 Feb 1990 @ Paris
Mehdi Jean Tahrat,            D,  1.93 m,  b. 24 Jan 1990 @ Meudon

Sofiane Feghouli,             M,  1.77 m,  b. 26 Dec 1989 @ Levallois-Perret
Djamel Benlamri,              D,  1.90 m,  b. 25 Dec 1989 @ Algiers
Aymen Tahar,                  M,  1.78 m,  b. 2 Oct 1989 @ Algiers
Jugurtha Hamroun,             M,  1.75 m,  b. 27 Jan 1989 @ Bouzeguene
Essaïd Belkalem,              D,  1.94 m,  b. 1 Jan 1989 @ Mekla

Ahmed Kashi,                  M,  1.78 m,  b. 18 Nov 1988 @ Aubervilliers
Alexandre Oukidja,            G,  1.85 m,  b. 19 Jul 1988 @ Nevers
Islam Slimani,                F,  1.88 m,  b. 18 Jun 1988 @ Algiers
Idir Ouali,                   M|F,1.76 m,  b. 21 May 1988 @ Roubaix
Liassine Cadamuro,            D,  1.86 m,  b. 5 Mar 1988 @ Toulouse

El Arbi Soudani,              M|F,1.82 m,  b. 25 Nov 1987 @ Chlef
Abdelmoumene Djabou,          M,  1.65 m,  b. 31 Jan 1987 @ Sétif

Rafik Halliche,               D,  1.87 m,  b. 2 Sep 1986 @ Algiers
Azzedine Doukha,              G,  1.88 m,  b. 5 Aug 1986 @ Chettia
Raïs M'Bolhi,                 G,  1.88 m,  b. 25 Apr 1986 @ Paris
Habib Bellaid,                D,  1.89 m,  b. 28 Mar 1986 @ Bobigny
Djamel Abdoun,                M,  1.80 m,  b. 14 Feb 1986 @ Montreuil-sous-Bois

Adlène Guédioura,             M,  1.78 m,  b. 12 Nov 1985 @ La Roche-sur-Yon
Karim Matmour,                F,  1.80 m,  b. 25 Jun 1985 @ Strasbourg
Carl Medjani,                 D,  1.84 m,  b. 15 May 1985 @ Lyon
Cédric Si Mohamed,            G,  1.83 m,  b. 9 Jan 1985 @ Roanne
Mohamed Zemmamouche,          G,  1.86 m,  b. 2 Jan 1985 @ Mila

Abdelkader Ghezzal,           F,  1.83 m,  b. 5 Dec 1984 @ Decines Charpieu
Faouzi Chaouchi,              G,  1.92 m,  b. 5 Dec 1984 @ Bordj Menaïel
Djamel Mesbah,                D|M,1.79 m,  b. 9 Oct 1984 @ Annecy
Hassan Yebda,                 M,  1.87 m,  b. 14 May 1984 @ Saint-Maurice
Mehdi Lacen,                  M,  1.76 m,  b. 15 Mar 1984 @ Versailles
Rafik Djebbour,               F,  1.85 m,  b. 8 Mar 1984 @ Grenoble

Foued Kadir,                  M,  1.79 m,  b. 5 Dec 1983 @ Martigues
Mehdi Mostefa Sbaa,           M,  1.81 m,  b. 30 Aug 1983 @ Dijon

Madjid Bougherra,             D,  1.88 m,  b. 7 Oct 1982 @ Longvic
Karim Ziani,                  M,  1.69 m,  b. 17 Aug 1982 @ Sèvres
Nadir Belhadj,                D,  1.75 m,  b. 18 Jun 1982 @ Saint Claude
Anther Yahia,                 D,  1.85 m,  b. 21 Mar 1982 @ Mulhouse

Abdelkader Laïfaoui,          D,  1.78 m,  b. 9 Jul 1981 @ Hussein Dey

Yazid Mansouri,               M,  1.75 m,  b. 25 Feb 1978 @ Revin

Lounès Gaouaoui,              G,  1.88 m,  b. 28 Sep 1977 @ Tizi Ouzou

Rafik Saïfi,                  F,  1.78 m,  b. 7 Feb 1975 @ Algiers
